player_total,dealer_card,soft,win_prob,best_move
9,2,0,0.467,1
21,7,1,0.926,0
17,7,0,0.2495,0
21,6,1,0.9065,0
13,10,0,0.226,1
12,9,0,0.2895,1
20,6,0,0.7745,0
11,3,0,0.588,1
16,10,0,0.1985,0
14,6,0,0.4405,0
6,8,0,0.2505,1
20,10,1,0.5475,0
15,10,0,0.212,0
21,8,1,0.9185,0
17,4,0,0.3945,0
20,11,0,0.504,0
15,10,1,0.3055,1
20,6,0,0.782,0
8,10,0,0.2735,1
13,10,0,0.227,1
18,6,0,0.5435,0
12,6,0,0.4305,0
16,5,0,0.414,0
20,8,0,0.854,0
15,6,1,0.5185,1
20,10,0,0.5275,0
17,10,0,0.21,0
21,10,1,0.8975,0
5,5,0,0.4215,0
14,7,1,0.4135,1
8,10,0,0.2615,1
7,8,0,0.2525,1
11,2,0,0.5755,1
9,9,0,0.3735,1
16,4,0,0.3915,0
5,3,0,0.369,1
13,7,1,0.4135,1
19,10,0,0.4495,0
19,9,0,0.4735,0
17,10,0,0.2185,0
13,10,0,0.228,1
16,8,0,0.2495,0
10,11,0,0.3395,1
14,3,0,0.3865,0
11,10,0,0.481,1
19,4,0,0.6425,0
12,6,0,0.4285,0
10,4,0,0.5875,1
12,8,0,0.3255,1
20,10,1,0.552,0
18,6,1,0.5745,0
15,11,0,0.199,0
11,10,0,0.485,1
21,2,1,0.883,0
18,10,1,0.334,1
11,8,0,0.545,1
13,10,0,0.2375,1
17,3,1,0.4625,1
11,10,0,0.473,1
16,10,0,0.224,0
13,10,0,0.24,1
14,8,0,0.261,1
16,10,0,0.2055,0
21,10,1,0.8955,0
14,11,0,0.207,1
10,6,0,0.592,1
15,6,0,0.4305,0
12,8,0,0.319,1
18,9,0,0.34,0
20,10,0,0.535,0
12,6,0,0.446,0
17,10,0,0.2145,0
14,7,1,0.3985,1
13,4,0,0.404,0
15,3,0,0.38,0
13,6,0,0.436,0
20,3,0,0.776,0
11,10,0,0.4585,1
6,10,0,0.215,1
20,11,0,0.5305,0
9,11,0,0.292,1
10,10,0,0.3835,1
14,10,0,0.236,1
10,7,0,0.5385,1
21,2,1,0.881,0
20,2,0,0.762,0
12,2,0,0.353,1
21,5,1,0.895,0
17,5,0,0.427,0
11,5,0,0.6235,1
13,2,0,0.3545,0
17,5,0,0.4015,0
14,10,0,0.2195,0
7,2,0,0.3855,1
12,2,0,0.363,0
14,10,0,0.21,1
20,5,1,0.7735,0
13,10,0,0.226,0
13,4,1,0.4815,1
11,6,0,0.63,1
7,10,0,0.2355,1
16,10,1,0.3075,1
18,8,0,0.359,0
20,10,0,0.5475,0
12,10,0,0.2365,1
15,7,1,0.4475,1
9,10,0,0.3085,1
14,8,0,0.2655,1
21,10,1,0.8845,0
13,10,0,0.2345,1
14,2,0,0.3555,0
15,11,0,0.186,0
10,3,0,0.553,1
18,10,0,0.3235,0
13,4,0,0.404,0
11,10,0,0.4475,1
18,10,0,0.3325,0
13,10,1,0.3305,1
11,11,0,0.3665,1
20,10,0,0.533,0
14,10,0,0.222,1
11,2,0,0.58,1
17,6,0,0.433,0
7,2,0,0.3505,0
18,10,0,0.317,0
15,5,0,0.419,0
